s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Red Sea,40610,SD10,19.8416,35.70398,Aj Jazirah,SD15,14.589485,33.27362,14135
Red Sea,40610,SD10,19.8416,35.70398,Sennar,SD14,12.907198,34.042836,5080
Red Sea,40610,SD10,19.8416,35.70398,Khartoum,SD01,15.851318,32.843002,6500
Kassala,40610,SD11,15.835927,35.856852,Aj Jazirah,SD15,14.589485,33.27362,21831
Kassala,40610,SD11,15.835927,35.856852,Sennar,SD14,12.907198,34.042836,3154
Gedaref,40610,SD12,14.152377,35.106167,Aj Jazirah,SD15,14.589485,33.27362,85395
Gedaref,40610,SD12,14.152377,35.106167,Sennar,SD14,12.907198,34.042836,11000
River Nile,40610,SD16,18.332291,33.463789,Aj Jazirah,SD15,14.589485,33.27362,16390
River Nile,40610,SD16,18.332291,33.463789,Sennar,SD14,12.907198,34.042836,5225
River Nile,40610,SD16,18.332291,33.463789,Khartoum,SD01,15.851318,32.843002,7382
Northern,40610,SD17,19.560497,29.329767,Aj Jazirah,SD15,14.589485,33.27362,4524
Northern,40610,SD17,19.560497,29.329767,Sennar,SD14,12.907198,34.042836,1013
Northern,40610,SD17,19.560497,29.329767,Khartoum,SD01,15.851318,32.843002,1987
Blue Nile,40610,SD08,11.297455,34.127622,Aj Jazirah,SD15,14.589485,33.27362,4484
Blue Nile,40610,SD08,11.297455,34.127622,Sennar,SD14,12.907198,34.042836,12956
West Darfur,0,SD04,13.519303,22.616657,Sennar,SD14,12.907198,34.042836,0
West Darfur,0,SD04,13.519303,22.616657,Aj Jazirah,SD15,14.589485,33.27362,0
White Nile,0,SD09,13.359391,32.316944,Sennar,SD14,12.907198,34.042836,9420
White Nile,0,SD09,13.359391,32.316944,Aj Jazirah,SD15,14.589485,33.27362,7125
White Nile,0,SD09,13.359391,32.316944,Khartoum,SD01,15.851318,32.843002,3465
West Kordofan,0,SD18,11.906944,28.392115,Sennar,SD14,12.907198,34.042836,0
West Kordofan,0,SD18,11.906944,28.392115,Aj Jazirah,SD15,14.589485,33.27362,0
South Kordofan,0,SD07,11.293547,30.847982,Sennar,SD14,12.907198,34.042836,0
South Kordofan,0,SD07,11.293547,30.847982,Aj Jazirah,SD15,14.589485,33.27362,0
South Darfur,0,SD03,11.00282,24.420469,Sennar,SD14,12.907198,34.042836,0
South Darfur,0,SD03,11.00282,24.420469,Aj Jazirah,SD15,14.589485,33.27362,0
North Kordofan,0,SD13,14.847728,29.761701,Sennar,SD14,12.907198,34.042836,0
North Kordofan,0,SD13,14.847728,29.761701,Aj Jazirah,SD15,14.589485,33.27362,0
North Darfur,0,SD02,16.217571,25.556517,Sennar,SD14,12.907198,34.042836,0
North Darfur,0,SD02,16.217571,25.556517,Aj Jazirah,SD15,14.589485,33.27362,0
East Darfur,0,SD05,11.017195,26.409638,Sennar,SD14,12.907198,34.042836,0
East Darfur,0,SD05,11.017195,26.409638,Aj Jazirah,SD15,14.589485,33.27362,0
Central Darfur,0,SD06,12.402911,23.364413,Sennar,SD14,12.907198,34.042836,0
Central Darfur,0,SD06,12.402911,23.364413,Aj Jazirah,SD15,14.589485,33.27362,0
Egypt,0,EG01,22.494637,31.236697,Aj Jazirah,SD15,14.589485,33.27362,0
Egypt,0,EG01,22.494637,31.236697,Sennar,SD14,12.907198,34.042836,0
Egypt,0,EG01,22.494637,31.236697,Khartoum,SD01,15.851318,32.843002,0


