State,Code,Localities,Locations,Total,Population 
Aj Jazirah,SD15,8,1870,331531,5687557
Blue Nile,SD08,7,240,456465,1344267
Central Darfur,SD06,9,131,929977,1786503
East Darfur,SD05,9,52,793948,1213951
Gedaref,SD12,12,656,852626,2545604
Kassala,SD11,11,325,318415,2811446
Khartoum,SD01,7,416,105380,9146191
North Darfur,SD02,17,510,1786909,2775652
North Kordofan,SD13,8,639,199248,2160476
Northern,SD17,7,629,567174,1023194
Red Sea,SD10,10,306,244306,1549857
River Nile,SD16,7,1283,935723,1651873
Sennar,SD14,7,420,130614,2170863
South Darfur,SD03,21,156,1837706,3912372
South Kordofan,SD07,14,497,447459,2017962
West Darfur,SD04,8,145,309227,1940860
West Kordofan,SD18,14,701,406093,1713462
White Nile,SD09,9,1309,648539,3046811
